,K,matrix,frob_norm
0,100,U,3.26907146900923e-15
1,100,Uf0,1.908435329175452e-15
2,100,Uf1,2.2935523719511744e-15
3,125,U,2.3019921169350495e-15
4,125,Uf0,2.673597276554512e-15
5,125,Uf1,2.6603566567090044e-15
6,150,U,2.250765180909503e-15
7,150,Uf0,3.052969371390771e-15
8,150,Uf1,1.8694354779699164e-15
9,175,U,3.136317649613101e-15
10,175,Uf0,2.882543465049849e-15
11,175,Uf1,2.4623559143681634e-15
12,200,U,1.5425240598167667e-15
13,200,Uf0,1.4866917470905325e-15
14,200,Uf1,1.9674875419833312e-15
15,25,U,3.79211142527489e-15
16,25,Uf0,3.208690436533325e-15
17,25,Uf1,2.9169264902872496e-15
18,50,U,2.563226713331172e-15
19,50,Uf0,2.5057058885644086e-15
20,50,Uf1,2.650013436985459e-15
21,75,U,2.7644388934941626e-15
22,75,Uf0,1.4827886570442035e-15
23,75,Uf1,2.322526159245669e-15
