seed,parameter_name,parameter_value,matrix_name,frob_norm
1,K,10,U,2.430267290789778
1,K,10,Uf_0,2.4136820435028628
1,K,10,Uf_1,2.4416654127865876
1,K,20,U,2.439234224885117
1,K,20,Uf_0,2.4281930801883065
1,K,20,Uf_1,2.4282303468909334
1,K,30,U,2.4378367789519353
1,K,30,Uf_0,2.4332598482511196
1,K,30,Uf_1,2.4125495756829602
1,K,40,U,2.411434486491464
1,K,40,Uf_0,2.4379670571515915
1,K,40,Uf_1,2.4042556938881967
1,K,50,U,2.4005437981465585
1,K,50,Uf_0,2.433476472924032
1,K,50,Uf_1,2.3095662447397216
1,K,60,U,2.419770726546033
1,K,60,Uf_0,2.445563027283235
1,K,60,Uf_1,2.3384512871941507
1,K,70,U,2.399480709481964
1,K,70,Uf_0,2.4384510067825205
1,K,70,Uf_1,2.3631546363176152
1,K,80,U,2.4128421906769653
1,K,80,Uf_0,2.4300282784104494
1,K,80,Uf_1,2.3507196187427404
1,K,90,U,2.403541343702786
1,K,90,Uf_0,2.438070377380077
1,K,90,Uf_1,2.3947872755226745
1,K,100,U,2.4046433687714903
1,K,100,Uf_0,2.436995108944296
1,K,100,Uf_1,2.414818368304906
2,K,10,U,2.443435883420471
2,K,10,Uf_0,2.438033240443095
2,K,10,Uf_1,2.4335854740596443
2,K,20,U,2.41836044510338
2,K,20,Uf_0,2.4359580771382863
2,K,20,Uf_1,2.4246195230622805
2,K,30,U,2.422818225705887
2,K,30,Uf_0,2.4223215268957197
2,K,30,Uf_1,2.4221816506206273
2,K,40,U,2.3782568772332953
2,K,40,Uf_0,2.3478318848480635
2,K,40,Uf_1,2.4381746317730895
2,K,50,U,2.4172590932744225
2,K,50,Uf_0,2.3749942758879614
2,K,50,Uf_1,2.422692014603959
2,K,60,U,2.4214091479030055
2,K,60,Uf_0,2.3939274726799047
2,K,60,Uf_1,2.425686073142329
2,K,70,U,2.420964945232948
2,K,70,Uf_0,2.410098339141599
2,K,70,Uf_1,2.43455499599483
2,K,80,U,2.42311004027072
2,K,80,Uf_0,2.413679942700615
2,K,80,Uf_1,2.4244184487650853
2,K,90,U,2.4247126181303864
2,K,90,Uf_0,2.381588214907039
2,K,90,Uf_1,2.4315129304291583
2,K,100,U,2.440729577115303
2,K,100,Uf_0,2.4166911036360914
2,K,100,Uf_1,2.3986364670474187
3,K,10,U,2.437599204926733
3,K,10,Uf_0,2.425744339705036
3,K,10,Uf_1,2.439128313868941
3,K,20,U,2.430244821928528
3,K,20,Uf_0,2.4065623794918385
3,K,20,Uf_1,2.431363436320455
3,K,30,U,2.43841099741035
3,K,30,Uf_0,2.42391997786187
3,K,30,Uf_1,2.4363822569392566
3,K,40,U,2.4348190456925947
3,K,40,Uf_0,2.4279881532264236
3,K,40,Uf_1,2.374458740965212
3,K,50,U,2.4336932130613147
3,K,50,Uf_0,2.413361602447118
3,K,50,Uf_1,2.366519856136613
3,K,60,U,2.4401012731821066
3,K,60,Uf_0,2.4239813143568845
3,K,60,Uf_1,2.3528567577287296
3,K,70,U,2.4365611600647927
3,K,70,Uf_0,2.4194230788871907
3,K,70,Uf_1,2.3545080057364616
3,K,80,U,2.4398670130696987
3,K,80,Uf_0,2.431122681480477
3,K,80,Uf_1,2.354776427947152
3,K,90,U,2.4316256745684823
3,K,90,Uf_0,2.4310372755785443
3,K,90,Uf_1,2.3946821639122837
3,K,100,U,2.413781693975521
3,K,100,Uf_0,2.42332946724395
3,K,100,Uf_1,2.410380338522663
4,K,10,U,2.4239606573732733
4,K,10,Uf_0,2.437267096000988
4,K,10,Uf_1,2.421727025539485
4,K,20,U,2.411434255667439
4,K,20,Uf_0,2.42970498372075
4,K,20,Uf_1,2.4325415729696322
4,K,30,U,2.4175000263530713
4,K,30,Uf_0,2.424003190366423
4,K,30,Uf_1,2.4237853068227677
4,K,40,U,2.3995853881538207
4,K,40,Uf_0,2.4308996265048393
4,K,40,Uf_1,2.4119295483371563
4,K,50,U,2.3915439059103325
4,K,50,Uf_0,2.420974052589991
4,K,50,Uf_1,2.419999930996946
4,K,60,U,2.412667740553625
4,K,60,Uf_0,2.411585214346349
4,K,60,Uf_1,2.42955239301658
4,K,70,U,2.3805610665236396
4,K,70,Uf_0,2.4255894768300075
4,K,70,Uf_1,2.4312039164793324
4,K,80,U,2.3886016040486933
4,K,80,Uf_0,2.42376396159617
4,K,80,Uf_1,2.422187715271731
4,K,90,U,2.3938839070068285
4,K,90,Uf_0,2.426800615163072
4,K,90,Uf_1,2.4083654588621597
