seed,parameter_name,parameter_value,matrix_name,frob_norm
1,K,10,U,1.490984790854137
1,K,10,Uf_0,1.7027199840095777
1,K,10,Uf_1,1.9640665720375579
1,K,20,U,0.5671886196637135
1,K,20,Uf_0,0.9063289716606105
1,K,20,Uf_1,0.6325765230051654
1,K,30,U,0.4721238658303013
1,K,30,Uf_0,0.8115218736015644
1,K,30,Uf_1,0.5000456628999166
1,K,40,U,0.3801443933858939
1,K,40,Uf_0,0.6584082472465305
1,K,40,Uf_1,0.37889054907192765
1,K,50,U,0.35469820475313923
1,K,50,Uf_0,0.673717108398356
1,K,50,Uf_1,0.34945658509334765
1,K,60,U,0.4141720124667441
1,K,60,Uf_0,0.6518270344720519
1,K,60,Uf_1,0.42919466106965426
1,K,70,U,0.3250869549991327
1,K,70,Uf_0,0.6467450814898389
1,K,70,Uf_1,0.33075129490903965
1,K,80,U,0.29470260504842827
1,K,80,Uf_0,0.5841959326247702
1,K,80,Uf_1,0.3104225202131387
1,K,90,U,0.2854977010398057
1,K,90,Uf_0,0.47501224115788626
1,K,90,Uf_1,0.30710039189536475
1,K,100,U,0.24176146011475594
1,K,100,Uf_0,0.40990057847207145
1,K,100,Uf_1,0.2665175792857742
2,K,10,U,1.4909681404208186
2,K,10,Uf_0,1.7027185232879285
2,K,10,Uf_1,1.9640442428035405
2,K,20,U,0.5671760489904587
2,K,20,Uf_0,0.9063210265318006
2,K,20,Uf_1,0.6325859860979224
2,K,30,U,0.4721310140032814
2,K,30,Uf_0,0.8115177320244364
2,K,30,Uf_1,0.5000466716611828
2,K,40,U,0.3801458379366186
2,K,40,Uf_0,0.6584019297942574
2,K,40,Uf_1,0.37888751630438944
2,K,50,U,0.3546992783141237
2,K,50,Uf_0,0.6737189041773096
2,K,50,Uf_1,0.34945609438879166
2,K,60,U,0.41420206489033456
2,K,60,Uf_0,0.6518309925670536
2,K,60,Uf_1,0.4292317790397823
2,K,70,U,0.3211586828585651
2,K,70,Uf_0,0.6469001586868074
2,K,70,Uf_1,0.32688255537949806
2,K,80,U,0.2951160266118655
2,K,80,Uf_0,0.5841500506873445
2,K,80,Uf_1,0.3107152448878064
2,K,90,U,0.28509674734987944
2,K,90,Uf_0,0.475036831082505
2,K,90,Uf_1,0.3067168924188149
2,K,100,U,0.24163514143113426
2,K,100,Uf_0,0.4099593682828869
2,K,100,Uf_1,0.2666577547549259
3,K,10,U,1.4909684154504033
3,K,10,Uf_0,1.7026995186237661
3,K,10,Uf_1,1.9640443527430687
3,K,20,U,0.5671841818372569
3,K,20,Uf_0,0.906329138787157
3,K,20,Uf_1,0.6325577902858682
3,K,30,U,0.4721214461824093
3,K,30,Uf_0,0.8115221993313908
3,K,30,Uf_1,0.5000454959600075
3,K,40,U,0.3801511554985473
3,K,40,Uf_0,0.6583966524915342
3,K,40,Uf_1,0.37888925374384963
3,K,50,U,0.3547020275709609
3,K,50,Uf_0,0.6737202640069674
3,K,50,Uf_1,0.3494597867433202
3,K,60,U,0.4131910909579033
3,K,60,Uf_0,0.652020816152223
3,K,60,Uf_1,0.4282835627073657
3,K,70,U,0.3250540976337716
3,K,70,Uf_0,0.6467480897957698
3,K,70,Uf_1,0.3307195320685163
3,K,80,U,0.2960770533355368
3,K,80,Uf_0,0.5839858049447594
3,K,80,Uf_1,0.3119388110623059
3,K,90,U,0.28626816576240277
3,K,90,Uf_0,0.4749194639734669
3,K,90,Uf_1,0.3081404122848281
3,K,100,U,0.24204968814909722
3,K,100,Uf_0,0.4099856201625842
3,K,100,Uf_1,0.266477804864098
4,K,10,U,1.490967725099957
4,K,10,Uf_0,1.7026999544747878
4,K,10,Uf_1,1.9640474141299313
4,K,20,U,0.5671861727852623
4,K,20,Uf_0,0.9063249330919733
4,K,20,Uf_1,0.6325665012621835
