seed,parameter_name,parameter_value,matrix_name,frob_norm
1,K,10,U,2.4302688817236926
1,K,10,Uf_0,2.413678682976865
1,K,10,Uf_1,2.4416676772213752
1,K,20,U,2.4392342519997325
1,K,20,Uf_0,2.4281924068876446
1,K,20,Uf_1,2.4282281571538826
1,K,30,U,2.4378405839657105
1,K,30,Uf_0,2.4332627785166174
1,K,30,Uf_1,2.412565943702657
1,K,40,U,2.411435091188488
1,K,40,Uf_0,2.4379750964680555
1,K,40,Uf_1,2.404251424348289
1,K,50,U,2.400434401857961
1,K,50,Uf_0,2.4323369470778675
1,K,50,Uf_1,2.3110344779332714
1,K,60,U,2.4197729108971
1,K,60,Uf_0,2.4455469215333245
1,K,60,Uf_1,2.338597853561663
1,K,70,U,2.4035477797693736
1,K,70,Uf_0,2.4394767806908164
1,K,70,Uf_1,2.365731052740859
1,K,80,U,2.412841648579428
1,K,80,Uf_0,2.4299350549181713
1,K,80,Uf_1,2.350082932211971
1,K,90,U,2.4035485973915462
1,K,90,Uf_0,2.4380674842174246
1,K,90,Uf_1,2.394798677672251
1,K,100,U,2.4046483882486385
1,K,100,Uf_0,2.4370091704823165
1,K,100,Uf_1,2.414812114967307
2,K,10,U,2.4434334129339734
2,K,10,Uf_0,2.4380246148784512
2,K,10,Uf_1,2.4335827948664566
2,K,20,U,2.418359046359743
2,K,20,Uf_0,2.435956153628034
2,K,20,Uf_1,2.424624272485824
2,K,30,U,2.422816950658855
2,K,30,Uf_0,2.422329475345515
2,K,30,Uf_1,2.4221928538997486
2,K,40,U,2.37825957979111
2,K,40,Uf_0,2.347824011145765
2,K,40,Uf_1,2.4381634753307946
2,K,50,U,2.4172666549027118
2,K,50,Uf_0,2.3750054425234604
2,K,50,Uf_1,2.4253301585236064
2,K,60,U,2.421414330681181
2,K,60,Uf_0,2.3939321553819863
2,K,60,Uf_1,2.4340524692581758
2,K,70,U,2.4228931913335323
2,K,70,Uf_0,2.4060737752233408
2,K,70,Uf_1,2.4367443062057172
2,K,80,U,2.4231070898248754
2,K,80,Uf_0,2.4136801894276956
2,K,80,Uf_1,2.424424998409405
2,K,90,U,2.4247047068990626
2,K,90,Uf_0,2.38162932900545
2,K,90,Uf_1,2.4315076090294947
2,K,100,U,2.4407312804152532
2,K,100,Uf_0,2.4194022504066033
2,K,100,Uf_1,2.3986352198918324
3,K,10,U,2.4376014409122146
3,K,10,Uf_0,2.4257778483347705
3,K,10,Uf_1,2.4391195584576986
3,K,20,U,2.4302435111685514
3,K,20,Uf_0,2.4065624703160653
3,K,20,Uf_1,2.4313637478330037
3,K,30,U,2.4387692783904527
3,K,30,Uf_0,2.427427525249957
3,K,30,Uf_1,2.4389260802540487
3,K,40,U,2.435956055378272
3,K,40,Uf_0,2.428476991075546
3,K,40,Uf_1,2.378755092095476
3,K,50,U,2.4336922696445336
3,K,50,Uf_0,2.413372390115611
3,K,50,Uf_1,2.3665153203620424
3,K,60,U,2.440094762912417
3,K,60,Uf_0,2.4239878369305154
3,K,60,Uf_1,2.3528711232711474
3,K,70,U,2.436561554239499
3,K,70,Uf_0,2.4194155410963636
3,K,70,Uf_1,2.354516589767312
3,K,80,U,2.4404809063405604
3,K,80,Uf_0,2.430553457242854
3,K,80,Uf_1,2.3548774856309547
3,K,90,U,2.4316235931259547
3,K,90,Uf_0,2.431032872049496
3,K,90,Uf_1,2.394679315695473
3,K,100,U,2.4156719820024377
3,K,100,Uf_0,2.422685328452504
3,K,100,Uf_1,2.411584562876248
4,K,10,U,2.423961128428245
4,K,10,Uf_0,2.4372598221580013
4,K,10,Uf_1,2.4217209628554546
4,K,20,U,2.4114309786317736
4,K,20,Uf_0,2.4297038240238367
4,K,20,Uf_1,2.432544813507816
4,K,30,U,2.4175001180712274
4,K,30,Uf_0,2.4240071219822523
4,K,30,Uf_1,2.423801451394564
4,K,40,U,2.3996102366734093
4,K,40,Uf_0,2.430895084155682
4,K,40,Uf_1,2.4119264323079896
4,K,50,U,2.3915447343031104
4,K,50,Uf_0,2.4209820525707064
4,K,50,Uf_1,2.4200071469547337
4,K,60,U,2.4126661841757873
4,K,60,Uf_0,2.4115923691581447
4,K,60,Uf_1,2.429553765268019
4,K,70,U,2.380559338844062
4,K,70,Uf_0,2.4255902708733923
4,K,70,Uf_1,2.4312075455221476
4,K,80,U,2.38850088423039
4,K,80,Uf_0,2.4238969963958064
4,K,80,Uf_1,2.421689016946789
4,K,90,U,2.3938872801027187
4,K,90,Uf_0,2.426802364625401
4,K,90,Uf_1,2.40576588534172
4,K,100,U,2.3889159246629985
4,K,100,Uf_0,2.427110770856432
4,K,100,Uf_1,2.3726561012798353
5,K,10,U,2.420906765737063
5,K,10,Uf_0,2.409862694697141
5,K,10,Uf_1,2.4300983301808485
5,K,20,U,2.4214472088533974
5,K,20,Uf_0,2.4327784671551167
5,K,20,Uf_1,2.425002601102352
5,K,30,U,2.4188127565705315
5,K,30,Uf_0,2.408991679147839
5,K,30,Uf_1,2.420204712904772
5,K,40,U,2.408118951553299
5,K,40,Uf_0,2.4103718969108576
5,K,40,Uf_1,2.428947035206184
5,K,50,U,2.41246298040546
5,K,50,Uf_0,2.4242750222384206
5,K,50,Uf_1,2.422174316170129
5,K,60,U,2.3937898145931618
5,K,60,Uf_0,2.4284644001275946
5,K,60,Uf_1,2.4164522143753837
5,K,70,U,2.4098946442963567
